Gene,log2FoldChange
RAPGEF4,2.0333544371355865
AQP3,2.032526722484368
SEC14L2,2.0322288207082795
DSC1,2.0304033808530315
GPR171,2.030227529472554
RASSF6,2.020125748745567
LIME1,2.020093837220751
MIAT,2.0200788109000345
MID2,2.0181737627643512
ADTRP,2.0174556856623265
RBM11,2.0149964315042257
LAT,2.011565963730578
NCS1,2.0113136785063928
SLC37A3,2.007861232406737
CHN1,2.0072362359901876
ZSWIM5,2.00587651579456
GATA1,2.0045909047117143
TSPO2,1.9981113744140422
LDOC1,1.9972281727987307
TTC39B,1.9949055370038233
DNAJA4,1.99091694818086
C17orf99,1.9903257192248136
NECTIN3,1.9898304510113058
ACHE,1.9876510148865882
NRP2,1.9848776417193903
CES1,1.9839965490367704
ATP7B,1.983835477443346
IL7,1.9832921825350052
PECR,1.983247222579433
SLAMF1,1.9807586574692624
LOC100132078,1.9807427374253013
LTB,1.979614677602993
IGLL3P,1.9784399033709064
CD7,1.9779559970057456
MAGI2-AS3,1.9722632096681987
RTN1,1.9708040195142174
SIRPG,1.9633519266184434
TRABD2A,1.9620359601329906
ERCC6L,1.9612832749912747
CLUHP3,1.956731340212328
ZBP1,1.9558568567455246
KLRC4,1.947848296065981
TRAT1,1.9449056992823475
PRKG2,1.940969871540706
SLC4A10,1.9407651344258638
ERRFI1,1.9312108899616844
TC2N,1.9300403250774516
ETS1,1.9298253731378732
VSIG1,1.92896859342768
TXK,1.9261641414512611
AKAP12,1.9254161234452853
CD274,1.9238074521740098
CTTN,1.9224666687149459
LRRN3,1.9217963310677837
MAF,1.9167910708416218
OPTN,1.9160781616489706
PSAT1,1.9145406820428554
APOE,1.912654332323504
PTPRS,1.9124930510828995
TFR2,1.912233841740188
TRPC1,1.9118626872414857
SLAMF7,1.9114182833214985
AGFG2,1.9092297162930818
MYH10,1.9091819380854231
SCARNA22,1.9035508874333387
KIF5C,1.9035403353642182
RORA,1.8974975159751761
RIC3,1.8970409763478722
WNT10A,1.8966569912854447
KLRC3,1.8896819273639431
SEPT1,1.8876854804871355
RASGRP1,1.8848868303715933
DMWD,1.8826649839708383
TGM2,1.8814071705449595
SLC16A9,1.8779094370512581
TNIK,1.8772023997931055
CHRDL1,1.8765788628458524
LILRP2,1.8744495802511363
B9D1,1.874102596893128
GIMAP4,1.873549367192006
RTKN2,1.87352236397832
OTUD7B,1.87336218662513
SNORA53,1.8720696181913223
IKZF3,1.8716675076589184
PFN2,1.8710522046906182
TMEM2,1.870516200411905
CDK5R1,1.8701506430192825
CD226,1.8684531605084767
ANKRD36BP2,1.866020933186646
APBB1,1.8634716278226693
NDFIP2,1.8549053282033154
SDC2,1.8507258530683144
NSG1,1.8480117599843473
FAM184A,1.8464614842279663
ADGRG6,1.8435543880427858
ASAH2B,1.8419002733606549
STAC,1.8366037459431928
KLRD1,1.8363806152247628
CACNA1I,1.8326144893561132
TENM1,1.8320791993929368
TMEM56,1.8313690397039437
TBC1D4,1.8294127571342702
A4GALT,1.8290132673094643
TMEM98,1.8244456114438992
PRDM5,1.8239035859059713
PTCH1,1.8213310024140632
EPOR,1.8211411909710595
SAMD12,1.8145056991376847
GPR15,1.8140484067712495
LAG3,1.8124264347808774
LOC102723604,1.8095104100375126
ANTXRLP1,1.8086234936785213
SLFN12L,1.8063817613183126
SYNE1,1.80566233042672
LINC00282,1.8037771973892827
LOC100506985,1.8007002125977305
IL2RB,1.791012284185492
PHLDB2,1.790472239969653
ACKR1,1.7891079373500467
AK7,1.7870754439856817
C20orf204,1.7844425976845646
SYT1,1.783428398531215
PLEKHG1,1.781298849476411
FPR2,1.7807698001590497
SEPT10,1.7753952450364527
MTUS1,1.7752150855300397
RAB30,1.7731557921361352
ADAM19,1.7710117145311248
S1PR5,1.7690894579223944
KIF21A,1.7683673711061023
AK1,1.7670414762295403
COL1A2,1.7657313419763978
CCL5,1.7653768278188973
KLHL32,1.7650919757843246
FBLN5,1.7633642607492175
APBA2,1.7620285292514528
SH2D3A,1.7600433738369778
LINC00243,1.7598985812982055
NECTIN1,1.755445943870233
HBA2,1.7517935019389586
STAT4,1.7505994765015955
MLLT3,1.7467265261246843
CTHRC1,1.7464234347481042
LOC101927070,1.743839950087156
THBS1,1.735265098353306
LOC105373805,1.7335883321172179
PRDX2,1.7333205165911798
WDR86-AS1,1.7294412789813984
LOC110091776,1.729113364796893
LOC154761,1.7278629034208122
CXCR3,1.7226701804298679
RETREG1,1.7222480370191353
TCAF2,1.7205311813704034
TCEA3,1.7180298125783406
P2RY10,1.7139283302276513
NEO1,1.71162181074178
PLCG1,1.7109404593360913
CFAP54,1.7100433422130592
IL18RAP,1.7099423876326516
KEL,1.7088350402804047
CCDC65,1.7037061580097266
ANO9,1.703701145156243
HABP4,1.7034157059947772
GVINP1,1.703077762244266
HEG1,1.7010598173780305
CA1,1.7005244472780219
PBK,1.6991495561721555
PERP,1.6983290193979446
DTHD1,1.6976447018265226
IFITM1,1.6947150368734483
TRIM10,1.684559343742428
SLC16A6,1.6810478605692791
SPTA1,1.6802262518059352
PMEPA1,1.6714959755073402
NCAM1,1.6709585694836158
RASGRF2,1.6679051436300578
LAIR2,1.6669561690350292
FOLR3,1.6643728635828077
RYR3,1.6625650331293356
GYPA,1.6620268691286828
SYTL2,1.6616538814042718
RLN2,1.6592772969947476
MT1DP,1.6580731464003615
KCNA3,1.6510793218916193
LGR6,1.6499107361417815
HBM,1.6480326534369432
SLC41A1,1.6449314948126261
PYHIN1,1.6424974443050397
NEXMIF,1.6388674005309531
TRAF1,1.6381832741794868
CARD11,1.636658311418127
CD48,1.6349425967531557
BLVRB,1.6329989096782043
LINC01934,1.6329006833829582
SNURF,1.6325512855253945
TNFRSF17,1.6315453645326012
PLA2G7,1.631421400772799
NUGGC,1.6260849043628958
CD160,1.6254542915498251
RAB39B,1.6217605806260253
XKR6,1.6216675560680327
FGFBP2,1.6185619498361279
GBP1,1.6183098528168625
GPRIN3,1.6159630063978543
PLEKHA1,1.6154126378113862
BTLA,1.6149009978982225
LOC728485,1.614313992757142
CSF1,1.6140361188438181
ARG1,1.6095075708260667
CXorf57,1.608740690293292
RHCE,1.6071395603476104
SNORD116-8,1.606908692396795
BFSP1,1.606195367524913
GFI1B,1.6056611467044706
DLGAP5,1.6051843515364927
NKG7,1.6050235222693874
MAP9,1.6001936790690094
SLC18B1,1.5959006245041332
AKR1C1,1.591509559747015
FAAH2,1.5893601894915501
PLXDC1,1.5879605314393828
PKP2,1.5864278865940975
ELL2,1.5850269962756236
MYO6,1.5843257136164763
PKIA,1.5842491338558131
LILRA4,1.5822249102126162
SLC44A4,1.5815009915731426
OASL,1.578937927189809
TMTC1,1.5759737539211598
MGAT3,1.574291298917701
PPP1R13B,1.5711699522681661
CDH2,1.5677427295201105
FBXO32,1.5673374457420732
ANKRD55,1.56522602719311
CPOX,1.5620073700079782
