Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,-log10_padj
HOXA-AS3,8.390362170598205,-3.814363197093642,0.6955297614848653,-5.484112123326648,4.1555115999501416e-08,3.791696656400235e-05,4.421166414403885
TGFBR3,21.01217583334606,2.8396458170930154,0.5179630915525021,5.482332358048297,4.197546980032088e-08,3.791696656400235e-05,4.421166414403885
CDC14B,5.290169471458576,2.5263881630389027,0.4656994857535091,5.424932258516813,5.7976523472071844e-08,4.929027610246202e-05,4.3072387491116615
GLA,21.25694645159998,-1.3336581946441501,0.24746769635150886,-5.389221358208269,7.076360242168779e-08,5.469093389083942e-05,4.26208466064117
GPR155,30.966156958361722,1.5349431622174805,0.2849682975290582,5.386364643108983,7.189702787836082e-08,5.469093389083942e-05,4.26208466064117
LINC02256,40.41865360285692,-1.3323798549863075,0.2504953344135945,-5.318980723155531,1.0435018967433104e-07,7.540866456815533e-05,4.122578750178715
ANKH,30.68201944841347,1.3411479668218944,0.2534993199290371,5.290538717016386,1.2195660071325083e-07,8.01199431867552e-05,4.096259367337616
SKAP1,55.59594841674089,2.3084172195983266,0.43564760270659314,5.298817680291554,1.165549448530358e-07,8.01199431867552e-05,4.096259367337616
CD99,270.34687401114473,-1.023120563718214,0.19450309798932452,-5.26017618379718,1.4391743888261133e-07,8.684411971226095e-05,4.061259582662758
SNX25,5.914024922311261,2.1247314057949294,0.40395642312030616,5.259803494106449,1.442094287064459e-07,8.684411971226095e-05,4.061259582662758
TNIK,36.88970255474164,1.8772023997931055,0.36092065604038753,5.2011498050226415,1.9805937573559094e-07,0.00010602045027801837,3.974610355619464
MCUB,111.35545982846384,1.4169529028436532,0.27237832528530137,5.20214999251307,1.9699612927145576e-07,0.00010602045027801837,3.974610355619464
KLRB1,64.88273440045741,2.363492159279982,0.45331923410328856,5.213747799506478,1.8506303248320472e-07,0.00010602045027801837,3.974610355619464
IPP,10.772428752737115,1.4596809078272468,0.28191915952079993,5.1776577026846295,2.246889924906027e-07,0.00011597964315952432,3.9356182318017017
UGCG,85.13885882984408,1.4056644302222954,0.2722371457193312,5.163382192052129,2.4252724150349887e-07,0.00012087055936034721,3.917679468075214
SMYD3,49.21034351703932,-1.9018108445156527,0.37155858107897966,-5.118468369087129,3.0802688387477487e-07,0.0001373247406447189,3.862251212526329
