,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
37,prerank,Apoptosis,-0.2571976229152061,-1.0426146895501354,0.33676975945017185,0.5573130443487837,0.997,39/143,16.75%,CCNA1;MMP2;AIFM3;GSN;GNA15;IL18;EMP1;ATF3;GPX1;GSTM1;BMF;HGF;CLU;ANXA1;BIK;IGFBP6;BCL2L2;TIMP2;EGR3;PSEN2;RHOB;DDIT3;IFITM3;LMNA;CDKN1A;SC5D;MGMT;FDXR;CASP2;SAT1;NEFH;SQSTM1;TIMP1;MCL1;BID;IER3;SATB1;CD38;CD69
36,prerank,Adipogenesis,-0.2579812163958941,-1.0595613340696715,0.2908496732026144,0.5860780191544033,0.996,35/171,14.75%,ANGPT1;LTC4S;ABCA1;SCARB1;RAB34;APLP2;PLIN2;SLC25A1;CAT;FAH;GBE1;IDH1;PIM3;ENPP2;ARL4A;BCL6;SLC27A1;CD302;MGLL;ADCY6;ITGA7;SLC25A10;CCNG2;PHYH;CDKN2C;MCCC1;SLC19A1;CD151;TALDO1;AK2;BCL2L13;SULT1A1;PEMT;GPD2;YWHAG
41,prerank,Notch Signaling,-0.3078903876310053,-0.8700350812624068,0.6627906976744186,0.9546834851670171,1.0,6/25,15.12%,JAG1;SAP30;KAT2A;PSEN2;ARRB1;ST3GAL6
43,prerank,p53 Pathway,0.21261587058257309,0.7896564505127026,0.9163179916317992,0.9814276968694949,1.0,21/172,10.80%,SDC1;CDK5R1;AK1;PERP;ZFP36L1;TPD52L1;CYFIP2;DGKA;PMM1;PITPNC1;GLS2;PHLDA3;WWP1;HSPA4L;TAP1;EPS8L2;FBXW7;RGS16;PRKAB1;BTG1;UPP1
48,prerank,Oxidative Phosphorylation,-0.10643540038598773,-0.4420509205392698,1.0,0.9993629355927884,1.0,45/184,30.46%,ATP1B1;IDH1;PDK4;ACADVL;PHYH;GPI;ALAS1;ATP6AP1;CPT1A;LDHA;ATP6V0B;HADHB;ECHS1;ACAT1;ATP6V1H;IDH3G;SLC25A11;TIMM13;ALDH6A1;COX5A;FDX1;ECH1;VDAC2;BCKDHA;ATP6V0C;ATP6V1E1;SLC25A5;BAX;SDHD;ACADM;UQCRC2;MDH2;IDH3A;GPX4;UQCRFS1;NDUFS3;SLC25A6;OXA1L;GLUD1;NDUFB5;NDUFS2;COX8A;NDUFV1;DLAT;AFG3L2
49,prerank,Myc Targets V1,0.09446412611090677,0.34954396685615186,1.0,0.9999708480307845,1.0,193/195,86.51%,CDC20;PRDX4;CCNA2;TFDP1;HSPE1;BUB3;PSMC4;ODC1;VBP1;MCM6;RFC4;SNRPG;CUL1;GSPT1;POLE3;SSBP1;KPNA2;ORC2;HDDC2;USP1;MAD2L1;CCT5;TXNL4A;EIF2S1;DEK;PA2G4;DDX18;NDUFAB1;RAD23B;SRSF3;MCM4;PSMD1;EIF2S2;CDK2;SRPK1;PSMD14;SRSF7;RAN;SERBP1;SNRPA1;ERH;SSB;FAM120A;RANBP1;RRM1;PCBP1;GOT2;HSPD1;EIF4E;CSTF2;G3BP1;SF3A1;PSMC6;ILF2;PWP1;PSMB3;CCT3;CCT7;EIF4G2;SNRPD1;EIF3J;PSMA2;PCNA;DDX21;GLO1;NOP16;PABPC4;UBE2L3;EIF4H;GNL3;HNRNPR;NCBP1;SNRPD2;HNRNPA2B1;HDGF;XRCC6;HNRNPA3;HNRNPD;ACP1;HNRNPC;PRPF31;MRPS18B;SRSF1;TRA2B;SRSF2;PSMA4;NME1;UBA2;YWHAQ;YWHAE;STARD7;NOLC1;NHP2;FBL;XPOT;NCBP2;CBX3;SNRPB2;VDAC1;KPNB1;CANX;NPM1;NOP56;PPM1G;CNBP;CCT2;SMARCC1;SNRPD3;ABCE1;CCT4;PSMB2;RPL14;PRPS2;RPS10;SNRPA;COPS5;MCM2;XPO1;PRDX3;HNRNPU;HPRT1;RPL6;PHB;TOMM70;CAD;EIF1AX;HDAC2;CYC1;DHX15;PTGES3;PHB2;RPL34;TARDBP;SYNCRIP;PSMD8;DUT;LSM2;RPL22;SF3B3;RUVBL2;POLD2;PSMD7;TCP1;SET;RPS2;IFRD1;SLC25A3;PSMA7;RNPS1;MCM7;MRPL9;RPL18;HNRNPA1;EXOSC7;CLNS1A;PSMA1;VDAC3;TUFM;RPS3;EIF3D;PABPC1;PPIA;RPS5;HSP90AB1;PGK1;RRP9;PSMD3;CDK4;MYC;PSMA6;LSM7;RSL1D1;MCM5;C1QBP;COX5A;SRM;ETF1;RPLP0;EIF3B;MRPL23;RACK1;RPS6;AIMP2;EEF1B2;APEX1;EIF4A1;LDHA;CTPS1;AP3S1;NAP1L1;TRIM28;UBE2E1;TYMS
45,prerank,mTORC1 Signaling,0.18456048537901792,0.6888564207353572,0.9929577464788732,1.0,1.0,38/192,21.20%,PLOD2;PSAT1;SYTL2;TFRC;ELOVL6;SLC2A1;LGMN;HMBS;GLRX;TUBA4A;EGLN3;ADD3;ASNS;PIK3R3;SLA;DHFR;AURKA;TES;BUB1;GCLC;PLK1;HSPE1;ATP6V1D;SDF2L1;FGL2;TUBG1;CCNF;FKBP2;PSMC4;NAMPT;FADS2;SERPINH1;SLC7A11;CTH;ACSL3;CACYBP;CDC25A;RRM2
44,prerank,Fatty Acid Metabolism,0.19983073671464646,0.714748253604577,0.9833080424886191,1.0,1.0,11/131,9.41%,CA6;ALDH1A1;CPOX;ENO2;CA2;G0S2;UROD;GABARAPL1;ALAD;CBR3;ECI2
42,prerank,Angiogenesis,0.29609225169913467,0.7903166726209082,0.7701543739279588,1.0,1.0,10/23,21.91%,LUM;OLR1;VEGFA;THBD;PF4;PTK2;APP;SPP1;S100A4;VCAN
47,prerank,DNA Repair,-0.1339211831875172,-0.5413386887168653,1.0,1.0,1.0,42/145,32.75%,PDE6G;IMPDH2;ADCY6;ERCC2;MPG;AGO4;SNAPC4;RRM2B;TYMS;DCTN4;USP11;ADRM1;NT5C;BCAP31;POLD1;ERCC1;TK2;TAF1C;VPS28;AK3;TSG101;ADA;TAF9;DAD1;POLR3C;GMPR2;CDA;RALA;GPX4;POLR1D;ZWINT;SRSF6;GTF3C5;ITPA;SUPT4H1;TAF12;CSTF3;NT5C3A;RFC2;POLD4;NME3;GTF2B
46,prerank,Protein Secretion,0.1812782014749335,0.6099264775068425,0.9955947136563876,1.0,1.0,27/91,27.13%,TPD52;SSPN;SGMS1;ATP7A;GALC;IGF2R;CLCN3;GOLGA4;YIPF6;PAM;SOD1;COG2;AP2B1;GOSR2;YKT6;TOM1L1;RAB22A;ATP1A1;ARFGAP3;BNIP3;COPB2;ANP32E;GBF1;BET1;ARFIP1;SEC22B;VAMP4
